base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_k_19_T_30_L_5__rna_output_k_19_T_20_L_3__output	dna_output_k_19_T_30_L_5__rna_output_k_19_T_20_L_3__output_Unique_RNA.tab.rc	dna_output_k_19_T_30_L_5__rna_output_k_19_T_20_L_3__output_Other.tab.rc	dna_output_k_19_T_30_L_5__rna_output_k_19_T_20_L_3__output_Unique_RNAfiltered_dna_output_k_19_T_30_L_5__rna_output_k_19_T_20_L_3__output_Unique_RNA.tab.rc	0	0	0	0	3319	0
dna_output_k_5_T_10_L_3__rna_output_k_19_T_30_L_4__output	dna_output_k_5_T_10_L_3__rna_output_k_19_T_30_L_4__output_Unique_RNA.tab.rc	dna_output_k_5_T_10_L_3__rna_output_k_19_T_30_L_4__output_Other.tab.rc	dna_output_k_5_T_10_L_3__rna_output_k_19_T_30_L_4__output_Unique_RNAfiltered_dna_output_k_5_T_10_L_3__rna_output_k_19_T_30_L_4__output_Unique_RNA.tab.rc	0	0	0	0	0	690960
dna_output_k_5_T_10_L_4__rna_output_k_10_T_30_L_5__output	dna_output_k_5_T_10_L_4__rna_output_k_10_T_30_L_5__output_Unique_RNA.tab.rc	dna_output_k_5_T_10_L_4__rna_output_k_10_T_30_L_5__output_Other.tab.rc	dna_output_k_5_T_10_L_4__rna_output_k_10_T_30_L_5__output_Unique_RNAfiltered_dna_output_k_5_T_10_L_4__rna_output_k_10_T_30_L_5__output_Unique_RNA.tab.rc	0	0	0	0	0	690960
dna_output_k_5_T_10_L_5__rna_output_k_10_T_10_L_5__output	dna_output_k_5_T_10_L_5__rna_output_k_10_T_10_L_5__output_Unique_RNA.tab.rc	dna_output_k_5_T_10_L_5__rna_output_k_10_T_10_L_5__output_Other.tab.rc	dna_output_k_5_T_10_L_5__rna_output_k_10_T_10_L_5__output_Unique_RNAfiltered_dna_output_k_5_T_10_L_5__rna_output_k_10_T_10_L_5__output_Unique_RNA.tab.rc	582493	257981	467258	229423	840474	690960
dna_output_k_5_T_1_L_3__rna_output_k_15_T_30_L_5__output	dna_output_k_5_T_1_L_3__rna_output_k_15_T_30_L_5__output_Unique_RNA.tab.rc	dna_output_k_5_T_1_L_3__rna_output_k_15_T_30_L_5__output_Other.tab.rc	dna_output_k_5_T_1_L_3__rna_output_k_15_T_30_L_5__output_Unique_RNAfiltered_dna_output_k_5_T_1_L_3__rna_output_k_15_T_30_L_5__output_Unique_RNA.tab.rc	0	0	0	0	0	690960
dna_output_k_5_T_1_L_4__rna_output_k_10_T_1_L_5__output	dna_output_k_5_T_1_L_4__rna_output_k_10_T_1_L_5__output_Unique_RNA.tab.rc	dna_output_k_5_T_1_L_4__rna_output_k_10_T_1_L_5__output_Other.tab.rc	dna_output_k_5_T_1_L_4__rna_output_k_10_T_1_L_5__output_Unique_RNAfiltered_dna_output_k_5_T_1_L_4__rna_output_k_10_T_1_L_5__output_Unique_RNA.tab.rc	582493	257981	475629	229423	840474	690960
dna_output_k_5_T_1_L_5__rna_output_k_19_T_20_L_4__output	dna_output_k_5_T_1_L_5__rna_output_k_19_T_20_L_4__output_Unique_RNA.tab.rc	dna_output_k_5_T_1_L_5__rna_output_k_19_T_20_L_4__output_Other.tab.rc	dna_output_k_5_T_1_L_5__rna_output_k_19_T_20_L_4__output_Unique_RNAfiltered_dna_output_k_5_T_1_L_5__rna_output_k_19_T_20_L_4__output_Unique_RNA.tab.rc	2232	1087	2006	1067	3319	690960
dna_output_k_5_T_20_L_3__rna_output_k_5_T_1_L_5__output	dna_output_k_5_T_20_L_3__rna_output_k_5_T_1_L_5__output_Unique_RNA.tab.rc	dna_output_k_5_T_20_L_3__rna_output_k_5_T_1_L_5__output_Other.tab.rc	dna_output_k_5_T_20_L_3__rna_output_k_5_T_1_L_5__output_Unique_RNAfiltered_dna_output_k_5_T_20_L_3__rna_output_k_5_T_1_L_5__output_Unique_RNA.tab.rc	98530	106487	88198	94933	842006	117892
dna_output_k_5_T_20_L_4__rna_output_k_10_T_1_L_4__output	dna_output_k_5_T_20_L_4__rna_output_k_10_T_1_L_4__output_Unique_RNA.tab.rc	dna_output_k_5_T_20_L_4__rna_output_k_10_T_1_L_4__output_Other.tab.rc	dna_output_k_5_T_20_L_4__rna_output_k_10_T_1_L_4__output_Unique_RNAfiltered_dna_output_k_5_T_20_L_4__rna_output_k_10_T_1_L_4__output_Unique_RNA.tab.rc	98347	106277	90122	96971	840478	117892
dna_output_k_5_T_20_L_5__rna_output_k_15_T_30_L_3__output	dna_output_k_5_T_20_L_5__rna_output_k_15_T_30_L_3__output_Unique_RNA.tab.rc	dna_output_k_5_T_20_L_5__rna_output_k_15_T_30_L_3__output_Other.tab.rc	dna_output_k_5_T_20_L_5__rna_output_k_15_T_30_L_3__output_Unique_RNAfiltered_dna_output_k_5_T_20_L_5__rna_output_k_15_T_30_L_3__output_Unique_RNA.tab.rc	0	0	0	0	0	117892
dna_output_k_5_T_30_L_3__rna_output_k_15_T_10_L_3__output	dna_output_k_5_T_30_L_3__rna_output_k_15_T_10_L_3__output_Unique_RNA.tab.rc	dna_output_k_5_T_30_L_3__rna_output_k_15_T_10_L_3__output_Other.tab.rc	dna_output_k_5_T_30_L_3__rna_output_k_15_T_10_L_3__output_Unique_RNAfiltered_dna_output_k_5_T_30_L_3__rna_output_k_15_T_10_L_3__output_Unique_RNA.tab.rc	0	0	0	0	405121	0
dna_output_k_5_T_30_L_4__rna_output_k_10_T_20_L_3__output	dna_output_k_5_T_30_L_4__rna_output_k_10_T_20_L_3__output_Unique_RNA.tab.rc	dna_output_k_5_T_30_L_4__rna_output_k_10_T_20_L_3__output_Other.tab.rc	dna_output_k_5_T_30_L_4__rna_output_k_10_T_20_L_3__output_Unique_RNAfiltered_dna_output_k_5_T_30_L_4__rna_output_k_10_T_20_L_3__output_Unique_RNA.tab.rc	0	0	0	0	2070	0
dna_output_k_5_T_30_L_5__rna_output_k_5_T_1_L_4__output	dna_output_k_5_T_30_L_5__rna_output_k_5_T_1_L_4__output_Unique_RNA.tab.rc	dna_output_k_5_T_30_L_5__rna_output_k_5_T_1_L_4__output_Other.tab.rc	dna_output_k_5_T_30_L_5__rna_output_k_5_T_1_L_4__output_Unique_RNAfiltered_dna_output_k_5_T_30_L_5__rna_output_k_5_T_1_L_4__output_Unique_RNA.tab.rc	0	0	0	0	842006	0
