base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
run_0064_Aligned.out_sorted__run_0037_Aligned.out_sorted	run_0064_Aligned.out_sorted__run_0037_Aligned.out_sorted_Unique_RNA.tab.rc	run_0064_Aligned.out_sorted__run_0037_Aligned.out_sorted_Other.tab.rc	run_0064_Aligned.out_sorted__run_0037_Aligned.out_sorted_Unique_RNAfiltered_run_0064_Aligned.out_sorted__run_0037_Aligned.out_sorted_Unique_RNA.tab.rc	219000	133586	213967	131223	398894	538031
run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNA.tab.rc	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Other.tab.rc	run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNAfiltered_run_0065_Aligned.out_sorted__run_0026_Aligned.out_sorted_Unique_RNA.tab.rc	246207	139718	234909	134882	424865	569040
run_0066_Aligned.out_sorted__run_0068_Aligned.out_sorted	run_0066_Aligned.out_sorted__run_0068_Aligned.out_sorted_Unique_RNA.tab.rc	run_0066_Aligned.out_sorted__run_0068_Aligned.out_sorted_Other.tab.rc	run_0066_Aligned.out_sorted__run_0068_Aligned.out_sorted_Unique_RNAfiltered_run_0066_Aligned.out_sorted__run_0068_Aligned.out_sorted_Unique_RNA.tab.rc	247444	138801	235851	133989	424863	571992
run_0067_Aligned.out_sorted__run_0088_Aligned.out_sorted	run_0067_Aligned.out_sorted__run_0088_Aligned.out_sorted_Unique_RNA.tab.rc	run_0067_Aligned.out_sorted__run_0088_Aligned.out_sorted_Other.tab.rc	run_0067_Aligned.out_sorted__run_0088_Aligned.out_sorted_Unique_RNAfiltered_run_0067_Aligned.out_sorted__run_0088_Aligned.out_sorted_Unique_RNA.tab.rc	245902	139191	234629	134373	424860	568329
run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNA.tab.rc	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Other.tab.rc	run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNAfiltered_run_0068_Aligned.out_sorted__run_0014_Aligned.out_sorted_Unique_RNA.tab.rc	246175	139713	234883	134878	424830	569040
run_0069_Aligned.out_sorted__run_0062_Aligned.out_sorted	run_0069_Aligned.out_sorted__run_0062_Aligned.out_sorted_Unique_RNA.tab.rc	run_0069_Aligned.out_sorted__run_0062_Aligned.out_sorted_Other.tab.rc	run_0069_Aligned.out_sorted__run_0062_Aligned.out_sorted_Unique_RNAfiltered_run_0069_Aligned.out_sorted__run_0062_Aligned.out_sorted_Unique_RNA.tab.rc	234762	144016	226330	139344	428216	538005
run_0070_Aligned.out_sorted__run_0036_Aligned.out_sorted	run_0070_Aligned.out_sorted__run_0036_Aligned.out_sorted_Unique_RNA.tab.rc	run_0070_Aligned.out_sorted__run_0036_Aligned.out_sorted_Other.tab.rc	run_0070_Aligned.out_sorted__run_0036_Aligned.out_sorted_Unique_RNAfiltered_run_0070_Aligned.out_sorted__run_0036_Aligned.out_sorted_Unique_RNA.tab.rc	246284	139777	234923	134893	425007	569042
run_0071_Aligned.out_sorted__run_0041_Aligned.out_sorted	run_0071_Aligned.out_sorted__run_0041_Aligned.out_sorted_Unique_RNA.tab.rc	run_0071_Aligned.out_sorted__run_0041_Aligned.out_sorted_Other.tab.rc	run_0071_Aligned.out_sorted__run_0041_Aligned.out_sorted_Unique_RNAfiltered_run_0071_Aligned.out_sorted__run_0041_Aligned.out_sorted_Unique_RNA.tab.rc	235632	133477	224585	128698	406336	569051
run_0072_Aligned.out_sorted__run_0007_Aligned.out_sorted	run_0072_Aligned.out_sorted__run_0007_Aligned.out_sorted_Unique_RNA.tab.rc	run_0072_Aligned.out_sorted__run_0007_Aligned.out_sorted_Other.tab.rc	run_0072_Aligned.out_sorted__run_0007_Aligned.out_sorted_Unique_RNAfiltered_run_0072_Aligned.out_sorted__run_0007_Aligned.out_sorted_Unique_RNA.tab.rc	247353	139173	235659	134309	424975	571393
run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNA.tab.rc	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Other.tab.rc	run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNAfiltered_run_0073_Aligned.out_sorted__run_0099_Aligned.out_sorted_Unique_RNA.tab.rc	233442	142735	224470	137754	425124	538559
run_0074_Aligned.out_sorted__run_0025_Aligned.out_sorted	run_0074_Aligned.out_sorted__run_0025_Aligned.out_sorted_Unique_RNA.tab.rc	run_0074_Aligned.out_sorted__run_0025_Aligned.out_sorted_Other.tab.rc	run_0074_Aligned.out_sorted__run_0025_Aligned.out_sorted_Unique_RNAfiltered_run_0074_Aligned.out_sorted__run_0025_Aligned.out_sorted_Unique_RNA.tab.rc	247790	141719	237339	137212	429191	567138
run_0075_Aligned.out_sorted__run_0084_Aligned.out_sorted	run_0075_Aligned.out_sorted__run_0084_Aligned.out_sorted_Unique_RNA.tab.rc	run_0075_Aligned.out_sorted__run_0084_Aligned.out_sorted_Other.tab.rc	run_0075_Aligned.out_sorted__run_0084_Aligned.out_sorted_Unique_RNAfiltered_run_0075_Aligned.out_sorted__run_0084_Aligned.out_sorted_Unique_RNA.tab.rc	231285	130860	224133	128555	398892	569050
run_0076_Aligned.out_sorted__run_0077_Aligned.out_sorted	run_0076_Aligned.out_sorted__run_0077_Aligned.out_sorted_Unique_RNA.tab.rc	run_0076_Aligned.out_sorted__run_0077_Aligned.out_sorted_Other.tab.rc	run_0076_Aligned.out_sorted__run_0077_Aligned.out_sorted_Unique_RNAfiltered_run_0076_Aligned.out_sorted__run_0077_Aligned.out_sorted_Unique_RNA.tab.rc	244727	138732	233949	134123	423524	567279
run_0077_Aligned.out_sorted__run_0082_Aligned.out_sorted	run_0077_Aligned.out_sorted__run_0082_Aligned.out_sorted_Unique_RNA.tab.rc	run_0077_Aligned.out_sorted__run_0082_Aligned.out_sorted_Other.tab.rc	run_0077_Aligned.out_sorted__run_0082_Aligned.out_sorted_Unique_RNAfiltered_run_0077_Aligned.out_sorted__run_0082_Aligned.out_sorted_Unique_RNA.tab.rc	235238	133456	224311	128681	406360	567994
run_0078_Aligned.out_sorted__run_0006_Aligned.out_sorted	run_0078_Aligned.out_sorted__run_0006_Aligned.out_sorted_Unique_RNA.tab.rc	run_0078_Aligned.out_sorted__run_0006_Aligned.out_sorted_Other.tab.rc	run_0078_Aligned.out_sorted__run_0006_Aligned.out_sorted_Unique_RNAfiltered_run_0078_Aligned.out_sorted__run_0006_Aligned.out_sorted_Unique_RNA.tab.rc	244511	139920	233923	135270	423522	566677
run_0079_Aligned.out_sorted__run_0005_Aligned.out_sorted	run_0079_Aligned.out_sorted__run_0005_Aligned.out_sorted_Unique_RNA.tab.rc	run_0079_Aligned.out_sorted__run_0005_Aligned.out_sorted_Other.tab.rc	run_0079_Aligned.out_sorted__run_0005_Aligned.out_sorted_Unique_RNAfiltered_run_0079_Aligned.out_sorted__run_0005_Aligned.out_sorted_Unique_RNA.tab.rc	253451	135696	241178	130973	424888	586572
