base	raw_unique_file	raw_other_file	filtered_file	UU_raw	UM_raw	UU_filtered	UM_filtered	U_m_R	U_m_D
dna_output_16_rna_output_16	dna_output_16_rna_output_16_Unique_RNA.tab.rc	dna_output_16_rna_output_16_Other.tab.rc	dna_output_16_rna_output_16_Unique_RNAfiltered_dna_output_16_rna_output_16_Unique_RNA.tab.rc	116772	33561	116658	33532	178457	646325
dna_output_170_rna_output_170	dna_output_170_rna_output_170_Unique_RNA.tab.rc	dna_output_170_rna_output_170_Other.tab.rc	dna_output_170_rna_output_170_Unique_RNAfiltered_dna_output_170_rna_output_170_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_171_rna_output_171	dna_output_171_rna_output_171_Unique_RNA.tab.rc	dna_output_171_rna_output_171_Other.tab.rc	dna_output_171_rna_output_171_Unique_RNAfiltered_dna_output_171_rna_output_171_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_172_rna_output_172	dna_output_172_rna_output_172_Unique_RNA.tab.rc	dna_output_172_rna_output_172_Other.tab.rc	dna_output_172_rna_output_172_Unique_RNAfiltered_dna_output_172_rna_output_172_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_173_rna_output_173	dna_output_173_rna_output_173_Unique_RNA.tab.rc	dna_output_173_rna_output_173_Other.tab.rc	dna_output_173_rna_output_173_Unique_RNAfiltered_dna_output_173_rna_output_173_Unique_RNA.tab.rc	116593	33502	116559	33494	178159	646325
dna_output_174_rna_output_174	dna_output_174_rna_output_174_Unique_RNA.tab.rc	dna_output_174_rna_output_174_Other.tab.rc	dna_output_174_rna_output_174_Unique_RNAfiltered_dna_output_174_rna_output_174_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_175_rna_output_175	dna_output_175_rna_output_175_Unique_RNA.tab.rc	dna_output_175_rna_output_175_Other.tab.rc	dna_output_175_rna_output_175_Unique_RNAfiltered_dna_output_175_rna_output_175_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_176_rna_output_176	dna_output_176_rna_output_176_Unique_RNA.tab.rc	dna_output_176_rna_output_176_Other.tab.rc	dna_output_176_rna_output_176_Unique_RNAfiltered_dna_output_176_rna_output_176_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_177_rna_output_177	dna_output_177_rna_output_177_Unique_RNA.tab.rc	dna_output_177_rna_output_177_Other.tab.rc	dna_output_177_rna_output_177_Unique_RNAfiltered_dna_output_177_rna_output_177_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_178_rna_output_178	dna_output_178_rna_output_178_Unique_RNA.tab.rc	dna_output_178_rna_output_178_Other.tab.rc	dna_output_178_rna_output_178_Unique_RNAfiltered_dna_output_178_rna_output_178_Unique_RNA.tab.rc	116593	33502	116559	33494	178159	646325
dna_output_179_rna_output_179	dna_output_179_rna_output_179_Unique_RNA.tab.rc	dna_output_179_rna_output_179_Other.tab.rc	dna_output_179_rna_output_179_Unique_RNAfiltered_dna_output_179_rna_output_179_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_17_rna_output_17	dna_output_17_rna_output_17_Unique_RNA.tab.rc	dna_output_17_rna_output_17_Other.tab.rc	dna_output_17_rna_output_17_Unique_RNAfiltered_dna_output_17_rna_output_17_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646383
dna_output_180_rna_output_180	dna_output_180_rna_output_180_Unique_RNA.tab.rc	dna_output_180_rna_output_180_Other.tab.rc	dna_output_180_rna_output_180_Unique_RNAfiltered_dna_output_180_rna_output_180_Unique_RNA.tab.rc	116617	33509	116584	33501	178193	646325
dna_output_181_rna_output_181	dna_output_181_rna_output_181_Unique_RNA.tab.rc	dna_output_181_rna_output_181_Other.tab.rc	dna_output_181_rna_output_181_Unique_RNAfiltered_dna_output_181_rna_output_181_Unique_RNA.tab.rc	116593	33502	116559	33494	178159	646325
dna_output_182_rna_output_182	dna_output_182_rna_output_182_Unique_RNA.tab.rc	dna_output_182_rna_output_182_Other.tab.rc	dna_output_182_rna_output_182_Unique_RNAfiltered_dna_output_182_rna_output_182_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_183_rna_output_183	dna_output_183_rna_output_183_Unique_RNA.tab.rc	dna_output_183_rna_output_183_Other.tab.rc	dna_output_183_rna_output_183_Unique_RNAfiltered_dna_output_183_rna_output_183_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_184_rna_output_184	dna_output_184_rna_output_184_Unique_RNA.tab.rc	dna_output_184_rna_output_184_Other.tab.rc	dna_output_184_rna_output_184_Unique_RNAfiltered_dna_output_184_rna_output_184_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_185_rna_output_185	dna_output_185_rna_output_185_Unique_RNA.tab.rc	dna_output_185_rna_output_185_Other.tab.rc	dna_output_185_rna_output_185_Unique_RNAfiltered_dna_output_185_rna_output_185_Unique_RNA.tab.rc	116618	33508	116585	33500	178193	646343
dna_output_186_rna_output_186	dna_output_186_rna_output_186_Unique_RNA.tab.rc	dna_output_186_rna_output_186_Other.tab.rc	dna_output_186_rna_output_186_Unique_RNAfiltered_dna_output_186_rna_output_186_Unique_RNA.tab.rc	116748	33551	116609	33511	178416	646343
dna_output_187_rna_output_187	dna_output_187_rna_output_187_Unique_RNA.tab.rc	dna_output_187_rna_output_187_Other.tab.rc	dna_output_187_rna_output_187_Unique_RNAfiltered_dna_output_187_rna_output_187_Unique_RNA.tab.rc	116618	33508	116585	33500	178193	646343
dna_output_188_rna_output_188	dna_output_188_rna_output_188_Unique_RNA.tab.rc	dna_output_188_rna_output_188_Other.tab.rc	dna_output_188_rna_output_188_Unique_RNAfiltered_dna_output_188_rna_output_188_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646383
dna_output_189_rna_output_189	dna_output_189_rna_output_189_Unique_RNA.tab.rc	dna_output_189_rna_output_189_Other.tab.rc	dna_output_189_rna_output_189_Unique_RNAfiltered_dna_output_189_rna_output_189_Unique_RNA.tab.rc	116593	33502	116559	33494	178159	646325
dna_output_18_rna_output_18	dna_output_18_rna_output_18_Unique_RNA.tab.rc	dna_output_18_rna_output_18_Other.tab.rc	dna_output_18_rna_output_18_Unique_RNAfiltered_dna_output_18_rna_output_18_Unique_RNA.tab.rc	116773	33560	116659	33531	178457	646343
dna_output_190_rna_output_190	dna_output_190_rna_output_190_Unique_RNA.tab.rc	dna_output_190_rna_output_190_Other.tab.rc	dna_output_190_rna_output_190_Unique_RNAfiltered_dna_output_190_rna_output_190_Unique_RNA.tab.rc	116594	33501	116560	33493	178159	646343
dna_output_191_rna_output_191	dna_output_191_rna_output_191_Unique_RNA.tab.rc	dna_output_191_rna_output_191_Other.tab.rc	dna_output_191_rna_output_191_Unique_RNAfiltered_dna_output_191_rna_output_191_Unique_RNA.tab.rc	116748	33551	116609	33511	178416	646343
dna_output_192_rna_output_192	dna_output_192_rna_output_192_Unique_RNA.tab.rc	dna_output_192_rna_output_192_Other.tab.rc	dna_output_192_rna_output_192_Unique_RNAfiltered_dna_output_192_rna_output_192_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_193_rna_output_193	dna_output_193_rna_output_193_Unique_RNA.tab.rc	dna_output_193_rna_output_193_Other.tab.rc	dna_output_193_rna_output_193_Unique_RNAfiltered_dna_output_193_rna_output_193_Unique_RNA.tab.rc	116747	33552	116608	33512	178416	646325
dna_output_194_rna_output_194	dna_output_194_rna_output_194_Unique_RNA.tab.rc	dna_output_194_rna_output_194_Other.tab.rc	dna_output_194_rna_output_194_Unique_RNAfiltered_dna_output_194_rna_output_194_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646374
dna_output_195_rna_output_195	dna_output_195_rna_output_195_Unique_RNA.tab.rc	dna_output_195_rna_output_195_Other.tab.rc	dna_output_195_rna_output_195_Unique_RNAfiltered_dna_output_195_rna_output_195_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646383
dna_output_196_rna_output_196	dna_output_196_rna_output_196_Unique_RNA.tab.rc	dna_output_196_rna_output_196_Other.tab.rc	dna_output_196_rna_output_196_Unique_RNAfiltered_dna_output_196_rna_output_196_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_197_rna_output_197	dna_output_197_rna_output_197_Unique_RNA.tab.rc	dna_output_197_rna_output_197_Other.tab.rc	dna_output_197_rna_output_197_Unique_RNAfiltered_dna_output_197_rna_output_197_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_198_rna_output_198	dna_output_198_rna_output_198_Unique_RNA.tab.rc	dna_output_198_rna_output_198_Other.tab.rc	dna_output_198_rna_output_198_Unique_RNAfiltered_dna_output_198_rna_output_198_Unique_RNA.tab.rc	116599	33504	116564	33496	178159	646383
dna_output_199_rna_output_199	dna_output_199_rna_output_199_Unique_RNA.tab.rc	dna_output_199_rna_output_199_Other.tab.rc	dna_output_199_rna_output_199_Unique_RNAfiltered_dna_output_199_rna_output_199_Unique_RNA.tab.rc	116778	33563	116663	33534	178457	646383
dna_output_19_rna_output_19	dna_output_19_rna_output_19_Unique_RNA.tab.rc	dna_output_19_rna_output_19_Other.tab.rc	dna_output_19_rna_output_19_Unique_RNAfiltered_dna_output_19_rna_output_19_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_1_rna_output_1	dna_output_1_rna_output_1_Unique_RNA.tab.rc	dna_output_1_rna_output_1_Other.tab.rc	dna_output_1_rna_output_1_Unique_RNAfiltered_dna_output_1_rna_output_1_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_200_rna_output_200	dna_output_200_rna_output_200_Unique_RNA.tab.rc	dna_output_200_rna_output_200_Other.tab.rc	dna_output_200_rna_output_200_Unique_RNAfiltered_dna_output_200_rna_output_200_Unique_RNA.tab.rc	116623	33511	116589	33503	178193	646374
dna_output_201_rna_output_201	dna_output_201_rna_output_201_Unique_RNA.tab.rc	dna_output_201_rna_output_201_Other.tab.rc	dna_output_201_rna_output_201_Unique_RNAfiltered_dna_output_201_rna_output_201_Unique_RNA.tab.rc	116753	33554	116613	33514	178416	646383
